participant_id,date,task_order,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,comments
p001,2025-11-09,Onboarding→Payment→Recovery,5,2,5,2,5,2,5,3,5,2,"Smooth overall; clear messages"
p002,2025-11-09,Onboarding→Payment→Recovery,5,2,5,2,5,2,4,2,5,3,"One minor delay during proof"
p003,2025-11-09,Payment→Onboarding→Recovery,5,2,4,2,5,2,5,2,5,3,"Payment felt fast"
p004,2025-11-09,Onboarding→Recovery→Payment,5,3,5,3,5,2,5,2,4,2,"Slight confusion on one step"
p005,2025-11-09,Onboarding→Payment→Recovery,5,2,5,2,4,2,5,2,5,2,"Great integration across steps"
p006,2025-11-09,Payment→Onboarding→Recovery,4,2,5,2,5,2,5,3,5,2,"Minor UI nit"
p007,2025-11-09,Onboarding→Payment→Recovery,5,3,5,2,5,2,5,2,5,2,"Very intuitive"
p008,2025-11-09,Recovery→Onboarding→Payment,5,2,5,2,5,3,5,2,4,2,"Good feedback text"
p009,2025-11-09,Onboarding→Payment→Recovery,5,2,4,2,5,2,4,2,5,2,"Clear error handling"
p010,2025-11-09,Payment→Recovery→Onboarding,5,2,5,3,4,2,5,2,5,2,"Face match message helpful"
p011,2025-11-09,Onboarding→Payment→Recovery,4,2,5,2,5,2,5,2,5,3,"Easy to learn"
p012,2025-11-09,Onboarding→Payment→Recovery,5,2,5,2,5,2,5,2,4,3,"Fast checkout"
p013,2025-11-09,Recovery→Payment→Onboarding,5,2,5,3,5,2,4,2,5,2,"Smooth recovery"
p014,2025-11-09,Onboarding→Payment→Recovery,5,3,5,2,5,2,4,2,5,2,"Good flow overall"
p015,2025-11-09,Payment→Onboarding→Recovery,5,2,5,2,5,2,5,3,5,3,"Confident using system"
